iter	Passed	Remaining
676	2612	7036
677	2616	7030
678	2619	7025
679	2622	7019
680	2627	7016
681	2630	7013
682	2634	7009
683	2638	7004
684	2642	7001
685	2645	6996
686	2649	6991
687	2652	6986
688	2655	6980
689	2660	6978
690	2663	6972
691	2666	6967
692	2670	6962
693	2673	6957
694	2677	6953
695	2680	6947
696	2683	6942
697	2687	6937
698	2691	6933
699	2694	6928
700	2697	6923
701	2701	6918
702	2704	6912
703	2708	6909
704	2711	6904
705	2715	6899
706	2718	6893
707	2722	6889
708	2726	6886
709	2730	6883
710	2733	6878
711	2738	6877
712	2742	6874
713	2746	6871
714	2751	6868
715	2755	6866
716	2759	6861
717	2762	6856
718	2766	6851
719	2769	6846
720	2773	6843
721	2776	6838
722	2780	6833
723	2783	6828
724	2787	6825
725	2792	6823
726	2796	6819
727	2799	6814
728	2803	6810
729	2807	6806
730	2810	6801
731	2813	6796
732	2817	6791
733	2821	6788
734	2824	6783
735	2828	6779
736	2831	6774
737	2835	6769
738	2839	6767
739	2844	6764
740	2847	6759
741	2850	6754
742	2854	6750
743	2858	6747
744	2862	6742
745	2865	6737
746	2869	6733
747	2872	6729
748	2876	6724
749	2879	6718
750	2882	6713
751	2886	6710
752	2890	6705
753	2893	6700
754	2896	6694
755	2900	6690
756	2903	6686
757	2907	6680
758	2910	6675
759	2913	6670
760	2917	6667
761	2921	6662
762	2924	6657
763	2927	6652
764	2930	6647
765	2935	6644
766	2939	6642
767	2943	6637
768	2946	6632
769	2950	6630
770	2954	6624
771	2957	6620
772	2961	6615
773	2964	6610
774	2968	6606
775	2971	6601
776	2974	6596
777	2978	6591
778	2982	6588
779	2985	6584
780	2989	6579
781	2992	6575
782	2996	6570
783	2999	6566
784	3003	6561
785	3006	6556
786	3009	6551
787	3013	6547
788	3017	6543
789	3020	6538
790	3023	6533
791	3027	6528
792	3031	6524
793	3035	6522
794	3039	6518
795	3042	6513
796	3046	6509
797	3050	6505
798	3053	6500
799	3056	6495
800	3060	6491
801	3064	6488
802	3067	6483
803	3071	6478
804	3074	6473
805	3078	6469
806	3081	6465
807	3085	6460
808	3088	6455
809	3091	6450
810	3095	6447
811	3099	6442
812	3102	6437
813	3106	6434
814	3110	6431
815	3115	6428
816	3118	6423
817	3121	6419
818	3126	6416
819	3130	6413
820	3133	6408
821	3136	6403
822	3140	6398
823	3144	6395
824	3147	6391
825	3152	6388
826	3155	6383
827	3159	6379
828	3162	6375
829	3166	6371
830	3170	6366
831	3173	6362
832	3177	6359
833	3180	6354
834	3184	6349
835	3187	6344
836	3191	6340
837	3194	6336
838	3198	6331
839	3201	6327
840	3205	6322
841	3209	6318
842	3212	6314
843	3215	6309
844	3218	6304
845	3222	6299
846	3226	6296
847	3230	6292
848	3233	6287
849	3236	6282
850	3240	6278
851	3244	6275
852	3248	6271
853	3251	6266
854	3254	6261
855	3259	6259
856	3262	6254
857	3265	6249
858	3269	6245
859	3272	6241
860	3276	6236
